종목명,티커,주식수
SK하이닉스,660,728002365
한화엔진,82740,84555000
한미반도체,42700,97475583
이수페타시스,7660,63402773
한화오션,42660,306050000
GST,83450,21980000
LG씨엔에스,3550,87229762
삼성E&A,28050,317771746
한화에어로스페이스,12450,50630000
삼성중공업,10140,845110000
흥아해운,3280,240000000
삼성전자,5930,5969782550
하나마이크론,67310,43283000
한국항공우주,47810,97500000
한양디지텍,78350,11940000
이오테크닉스,39030,12340000
삼성에스디에스,18260,77377000
삼성전기,9150,74693000
HMM,11200,757820000
신성델타테크,65350,27560000
주성엔지니어링,36930,47390000
두산밥캣,241560,100140000
대덕전자,353200,49390000
HD건설기계,267270,72920000
에코프로에이치엔,383310,12230000
LG전자,66570,163640000
세아베스틸지주,1430,37830000
S-Oil,10950,112580000
에코아이,448510,10300000
LG에너지솔루션,373220,234000000
스피어,261140,58000000
삼성SDI,6400,68760000
OCI홀딩스,456040,16300000
DS단석,17860,5900000
서진시스템,178320,44790000
SK이노베이션,96770,92490000
케이엔솔,53080,6820000
성일하이텍,365340,12170000
